Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price
GPN,GLOBAL PAYMENTS INC,Financials,Equity,"5,705,685.80",0.04,"5,705,685.80","68,545.00",83.24
MTD,METTLER TOLEDO INC,Health Care,Equity,"5,670,869.96",0.04,"5,670,869.96","5,684.00",997.69
SW,SMURFIT WESTROCK PLC,Materials,Equity,"5,629,705.73",0.04,"5,629,705.73","139,799.00",40.27
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,"5,581,848.25",0.04,"5,581,848.25","143,825.00",38.81
CPAY,CORPAY INC,Financials,Equity,"5,535,598.32",0.04,"5,535,598.32","18,468.00",299.74
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Equity,"5,518,172.25",0.04,"5,518,172.25","87,939.00",62.75
VRSN,VERISIGN INC,Information Technology,Equity,"5,476,475.63",0.04,"5,476,475.63","22,549.00",242.87
LYV,LIVE NATION ENTERTAINMENT INC,Communication,Equity,"5,473,278.19",0.04,"5,473,278.19","42,353.00",129.23
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Equity,"5,471,319.04",0.04,"5,471,319.04","53,504.00",102.26
ES,EVERSOURCE ENERGY,Utilities,Equity,"5,447,094.59",0.04,"5,447,094.59","97,811.00",55.69
CINF,CINCINNATI FINANCIAL CORP,Financials,Equity,"5,422,051.60",0.04,"5,422,051.60","41,201.00",131.60
WRB,WR BERKLEY CORP,Financials,Equity,"5,303,569.08",0.04,"5,303,569.08","79,028.00",67.11
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,"5,294,694.60",0.04,"5,294,694.60","653,666.00",8.10
NVR,NVR INC,Consumer Discretionary,Equity,"5,291,115.48",0.04,"5,291,115.48",756.00,"6,998.83"
CDW,CDW CORP,Information Technology,Equity,"5,279,146.20",0.04,"5,279,146.20","35,986.00",146.70
MOH,MOLINA HEALTHCARE INC,Health Care,Equity,"5,214,561.56",0.04,"5,214,561.56","15,217.00",342.68
INVH,INVITATION HOMES INC,Real Estate,Equity,"5,211,456.04",0.04,"5,211,456.04","164,711.00",31.64
DOW,DOW INC,Materials,Equity,"5,191,185.67",0.04,"5,191,185.67","190,223.00",27.29
DG,DOLLAR GENERAL CORP,Consumer Staples,Equity,"5,188,591.50",0.04,"5,188,591.50","59,550.00",87.13
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,Equity,"5,170,033.14",0.04,"5,170,033.14","68,441.00",75.54
WY,WEYERHAEUSER REIT,Real Estate,Equity,"5,103,013.16",0.04,"5,103,013.16","197,638.00",25.82
PHM,PULTEGROUP INC,Consumer Discretionary,Equity,"5,095,067.84",0.04,"5,095,067.84","54,388.00",93.68
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Financials,Equity,"5,079,604.72",0.04,"5,079,604.72","3,098.00","1,639.64"
LDOS,LEIDOS HOLDINGS INC,Industrials,Equity,"5,065,132.55",0.04,"5,065,132.55","36,265.00",139.67
NRG,NRG ENERGY INC,Utilities,Equity,"5,051,451.09",0.04,"5,051,451.09","54,381.00",92.89
WAT,WATERS CORP,Health Care,Equity,"5,039,594.56",0.04,"5,039,594.56","16,016.00",314.66
LH,LABCORP HOLDINGS INC,Health Care,Equity,"5,007,917.88",0.04,"5,007,917.88","22,908.00",218.61
TROW,T ROWE PRICE GROUP INC,Financials,Equity,"4,995,810.96",0.04,"4,995,810.96","58,128.00",85.94
ZS,ZSCALER INC,Information Technology,Equity,"4,991,057.28",0.04,"4,991,057.28","25,548.00",195.36
HBAN,HUNTINGTON BANCSHARES INC,Financials,Equity,"4,986,548.06",0.04,"4,986,548.06","386,854.00",12.89
HUBB,HUBBELL INC,Industrials,Equity,"4,974,113.84",0.04,"4,974,113.84","14,551.00",341.84
ZM,ZOOM COMMUNICATIONS INC CLASS A,Information Technology,Equity,"4,969,945.17",0.04,"4,969,945.17","71,397.00",69.61
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity,"4,956,737.52",0.04,"4,956,737.52","33,151.00",149.52
SYF,SYNCHRONY FINANCIAL,Financials,Equity,"4,929,723.60",0.04,"4,929,723.60","105,720.00",46.63
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,Equity,"4,920,937.20",0.04,"4,920,937.20","68,940.00",71.38
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity,"4,913,520.18",0.04,"4,913,520.18","357,607.00",13.74
CCL,CARNIVAL CORP,Consumer Discretionary,Equity,"4,877,787.20",0.04,"4,877,787.20","277,147.00",17.60
CTRA,COTERRA ENERGY INC,Energy,Equity,"4,870,370.70",0.04,"4,870,370.70","197,181.00",24.70
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,Equity,"4,860,848.52",0.04,"4,860,848.52","32,868.00",147.89
DGX,QUEST DIAGNOSTICS INC,Health Care,Equity,"4,858,807.90",0.04,"4,858,807.90","29,654.00",163.85
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,Equity,"4,850,993.01",0.04,"4,850,993.01","31,323.00",154.87
HAL,HALLIBURTON,Energy,Equity,"4,812,361.51",0.04,"4,812,361.51","237,413.00",20.27
PODD,INSULET CORP,Health Care,Equity,"4,810,369.63",0.04,"4,810,369.63","19,129.00",251.47
NI,NISOURCE INC,Utilities,Equity,"4,794,125.28",0.04,"4,794,125.28","126,128.00",38.01
DVN,DEVON ENERGY CORP,Energy,Equity,"4,702,709.25",0.03,"4,702,709.25","169,467.00",27.75
CLX,CLOROX,Consumer Staples,Equity,"4,690,983.70",0.03,"4,690,983.70","33,293.00",140.90
LII,LENNOX INTERNATIONAL INC,Industrials,Equity,"4,686,269.64",0.03,"4,686,269.64","8,516.00",550.29
WSO,WATSCO INC,Industrials,Equity,"4,647,898.56",0.03,"4,647,898.56","9,312.00",499.13
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,Equity,"4,633,870.62",0.03,"4,633,870.62","28,202.00",164.31
RBA,RB GLOBAL INC,Industrials,Equity,"4,630,965.45",0.03,"4,630,965.45","48,855.00",94.79
NTRS,NORTHERN TRUST CORP,Financials,Equity,"4,628,018.38",0.03,"4,628,018.38","52,627.00",87.94
EME,EMCOR GROUP INC,Industrials,Equity,"4,612,708.80",0.03,"4,612,708.80","12,294.00",375.20
RF,REGIONS FINANCIAL CORP,Financials,Equity,"4,610,483.00",0.03,"4,610,483.00","242,657.00",19.00
PTC,PTC INC,Information Technology,Equity,"4,582,637.52",0.03,"4,582,637.52","31,877.00",143.76
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,Equity,"4,564,127.40",0.03,"4,564,127.40","17,364.00",262.85
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity,"4,558,635.69",0.03,"4,558,635.69","75,813.00",60.13
STLD,STEEL DYNAMICS INC,Materials,Equity,"4,536,171.41",0.03,"4,536,171.41","38,609.00",117.49
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,"4,518,948.60",0.03,"4,518,948.60","41,220.00",109.63
SNA,SNAP ON INC,Industrials,Equity,"4,500,467.96",0.03,"4,500,467.96","13,961.00",322.36
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,"4,492,238.40",0.03,"4,492,238.40","133,380.00",33.68
BIIB,BIOGEN INC,Health Care,Equity,"4,486,559.98",0.03,"4,486,559.98","39,571.00",113.38
PKG,PACKAGING CORP OF AMERICA,Materials,Equity,"4,481,955.60",0.03,"4,481,955.60","24,168.00",185.45
FWONK,LIBERTY MEDIA FORMULA ONE CORP SER,Communication,Equity,"4,480,412.90",0.03,"4,480,412.90","57,170.00",78.37
OKTA,OKTA INC CLASS A,Information Technology,Equity,"4,465,114.05",0.03,"4,465,114.05","43,935.00",101.63
NTAP,NETAPP INC,Information Technology,Equity,"4,457,765.84",0.03,"4,457,765.84","54,178.00",82.28
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,Equity,"4,445,688.80",0.03,"4,445,688.80","61,780.00",71.96
NTRA,NATERA INC,Health Care,Equity,"4,426,062.48",0.03,"4,426,062.48","30,891.00",143.28
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity,"4,409,446.67",0.03,"4,409,446.67","10,067.00",438.01
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Equity,"4,388,246.85",0.03,"4,388,246.85","12,363.00",354.95
HEIA,HEICO CORP CLASS A,Industrials,Equity,"4,335,077.18",0.03,"4,335,077.18","21,721.00",199.58
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Equity,"4,326,908.96",0.03,"4,326,908.96","10,384.00",416.69
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,Equity,"4,309,100.60",0.03,"4,309,100.60","57,470.00",74.98
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity,"4,299,444.50",0.03,"4,299,444.50","9,490.00",453.05
DKNG,DRAFTKINGS INC CLASS A,Consumer Discretionary,Equity,"4,284,813.75",0.03,"4,284,813.75","123,375.00",34.73
TOST,TOAST INC CLASS A,Financials,Equity,"4,261,406.40",0.03,"4,261,406.40","127,740.00",33.36
GPC,GENUINE PARTS,Consumer Discretionary,Equity,"4,231,268.21",0.03,"4,231,268.21","37,349.00",113.29
NTNX,NUTANIX INC CLASS A,Information Technology,Equity,"4,222,504.44",0.03,"4,222,504.44","68,061.00",62.04
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,Equity,"4,215,871.22",0.03,"4,215,871.22","70,066.00",60.17
LUV,SOUTHWEST AIRLINES,Industrials,Equity,"4,188,373.37",0.03,"4,188,373.37","162,403.00",25.79
BURL,BURLINGTON STORES INC,Consumer Discretionary,Equity,"4,180,595.12",0.03,"4,180,595.12","17,173.00",243.44
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,Equity,"4,144,560.90",0.03,"4,144,560.90","35,333.00",117.30
PINS,PINTEREST INC CLASS A,Communication,Equity,"4,143,579.33",0.03,"4,143,579.33","157,971.00",26.23
GWRE,GUIDEWIRE SOFTWARE INC,Information Technology,Equity,"4,126,417.23",0.03,"4,126,417.23","21,997.00",187.59
CFG,CITIZENS FINANCIAL GROUP INC,Financials,Equity,"4,110,995.14",0.03,"4,110,995.14","118,166.00",34.79
LNT,ALLIANT ENERGY CORP,Utilities,Equity,"4,103,492.13",0.03,"4,103,492.13","68,153.00",60.21
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,Equity,"4,093,194.56",0.03,"4,093,194.56","26,593.00",153.92
ROL,ROLLINS INC,Industrials,Equity,"4,071,452.84",0.03,"4,071,452.84","75,244.00",54.11
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,"4,060,832.60",0.03,"4,060,832.60","37,510.00",108.26
ON,ON SEMICONDUCTOR CORP,Information Technology,Equity,"4,049,393.60",0.03,"4,049,393.60","116,095.00",34.88
FFIV,F5 INC,Information Technology,Equity,"4,043,790.00",0.03,"4,043,790.00","15,858.00",255.00
TPR,TAPESTRY INC,Consumer Discretionary,Equity,"4,042,620.40",0.03,"4,042,620.40","63,245.00",63.92
CSL,CARLISLE COMPANIES INC,Industrials,Equity,"4,041,244.90",0.03,"4,041,244.90","12,010.00",336.49
RS,RELIANCE STEEL & ALUMINUM,Materials,Equity,"4,033,673.30",0.03,"4,033,673.30","14,530.00",277.61
L,LOEWS CORP,Financials,Equity,"4,033,223.48",0.03,"4,033,223.48","47,804.00",84.37
TW,TRADEWEB MARKETS INC CLASS A,Financials,Equity,"3,986,264.52",0.03,"3,986,264.52","31,796.00",125.37
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,"3,983,516.25",0.03,"3,983,516.25","19,551.00",203.75
